title,year,rating,type,genres
Mystery Men,1999,6.1,movie,Fantasy;Comedy;Sci-Fi;Action
Star Wars: Episode I - The Phantom Menace,1999,6.5,movie,Adventure;Fantasy;Sci-Fi;Action
The World Is Not Enough,1999,6.4,movie,Adventure;Crime;Action;Thriller
Austin Powers: The Spy Who Shagged Me,1999,6.6,movie,Adventure;Crime;Comedy;Action
Deep Blue Sea,1999,5.9,movie,Adventure;Sci-Fi;Action;Thriller
The 13th Warrior,1999,6.6,movie,Adventure;Action;History
The Matrix,1999,8.7,movie,Sci-Fi;Action
The Mummy,1999,7.0,movie,Adventure;Fantasy;Action
Beowulf,1999,4.2,movie,Adventure;Fantasy;Sci-Fi;Action;Thriller;Horror
Three Kings,1999,7.1,movie,Adventure;Drama;Comedy;Action;War
The Iron Giant,1999,8.0,movie,Adventure;Family;Drama;Comedy;Animation;Sci-Fi;Action
Wild Wild West,1999,5.0,movie,Comedy;Sci-Fi;Action;Western
The Boondock Saints,1999,7.8,movie,Crime;Action;Thriller
