title,year,rating,type,genres
The Talented Mr. Ripley,1999,7.4,movie,Crime;Drama;Thriller
Boys Don't Cry,1999,7.5,movie,Crime;Drama;Romance;Biography
The Green Mile,1999,8.6,movie,Fantasy;Crime;Drama;Mystery
The World Is Not Enough,1999,6.4,movie,Adventure;Crime;Action;Thriller
Austin Powers: The Spy Who Shagged Me,1999,6.6,movie,Adventure;Crime;Comedy;Action
Double Jeopardy,1999,6.5,movie,Crime;Drama;Thriller;Mystery
House on Haunted Hill,1999,5.7,movie,Fantasy;Crime;Thriller;Mystery;Horror
Life,1999,6.8,movie,Crime;Drama;Comedy
The Boondock Saints,1999,7.8,movie,Crime;Action;Thriller
Jawbreaker,1999,5.7,movie,Crime;Comedy;Thriller
