title,year,rating,type,genres
Being John Malkovich,1999,7.7,movie,Fantasy;Drama;Comedy
Sleepy Hollow,1999,7.3,movie,Fantasy;Mystery;Horror
The Green Mile,1999,8.6,movie,Fantasy;Crime;Drama;Mystery
Mystery Men,1999,6.1,movie,Fantasy;Comedy;Sci-Fi;Action
Star Wars: Episode I - The Phantom Menace,1999,6.5,movie,Adventure;Fantasy;Sci-Fi;Action
Dogma,1999,7.3,movie,Adventure;Fantasy;Drama;Comedy
Toy Story 2,1999,7.9,movie,Adventure;Family;Fantasy;Comedy;Animation
The Mummy,1999,7.0,movie,Adventure;Fantasy;Action
Beowulf,1999,4.2,movie,Adventure;Fantasy;Sci-Fi;Action;Thriller;Horror
House on Haunted Hill,1999,5.7,movie,Fantasy;Crime;Thriller;Mystery;Horror
The Haunting,1999,5.0,movie,Fantasy;Thriller;Mystery;Horror
