title,year,rating,type,genres
Sleepy Hollow,1999,7.3,movie,Fantasy;Mystery;Horror
The Ninth Gate,1999,6.7,movie,Thriller;Mystery
The Green Mile,1999,8.6,movie,Fantasy;Crime;Drama;Mystery
The Sixth Sense,1999,8.1,movie,Drama;Thriller;Mystery
Eyes Wide Shut,1999,7.4,movie,Drama;Thriller;Mystery
Double Jeopardy,1999,6.5,movie,Crime;Drama;Thriller;Mystery
Ôdishon,1999,7.2,movie,Drama;Mystery;Horror
The Blair Witch Project,1999,6.5,movie,Mystery;Horror
House on Haunted Hill,1999,5.7,movie,Fantasy;Crime;Thriller;Mystery;Horror
The Haunting,1999,5.0,movie,Fantasy;Thriller;Mystery;Horror
