title,year,rating,type,genres
The Talented Mr. Ripley,1999,7.4,movie,Crime;Drama;Thriller
The Ninth Gate,1999,6.7,movie,Thriller;Mystery
The Sixth Sense,1999,8.1,movie,Drama;Thriller;Mystery
eXistenZ,1999,6.8,movie,Sci-Fi;Thriller;Horror
Drop Dead Gorgeous,1999,6.6,movie,Comedy;Thriller;Romance
The World Is Not Enough,1999,6.4,movie,Adventure;Crime;Action;Thriller
Deep Blue Sea,1999,5.9,movie,Adventure;Sci-Fi;Action;Thriller
Eyes Wide Shut,1999,7.4,movie,Drama;Thriller;Mystery
Double Jeopardy,1999,6.5,movie,Crime;Drama;Thriller;Mystery
Beowulf,1999,4.2,movie,Adventure;Fantasy;Sci-Fi;Action;Thriller;Horror
House on Haunted Hill,1999,5.7,movie,Fantasy;Crime;Thriller;Mystery;Horror
The Haunting,1999,5.0,movie,Fantasy;Thriller;Mystery;Horror
The Boondock Saints,1999,7.8,movie,Crime;Action;Thriller
Jawbreaker,1999,5.7,movie,Crime;Comedy;Thriller
